wav_filename,sentence,char_count
common_voice_pt_19277062.wav,A mulher com cabelo loiro mantém seus óculos escuros.,53
common_voice_pt_19277063.wav,A maioria das pessoas leva isso bem cedo na vida.,49
common_voice_pt_19277064.wav,Queria ter um milhão de dólares.,32
common_voice_pt_19277065.wav,Isso me impressiona!,20
common_voice_pt_19277066.wav,Posso ouvir o mais novo canto de Jeremy Taggart no Deezer?,58
common_voice_pt_19277067.wav,"O termo ""apenas meus dois centavos"" é sobre a opinião? não sobre dinheiro.",74
common_voice_pt_19277068.wav,Diga-me a previsão do tempo para a França,41
common_voice_pt_19277069.wav,Mas apenas fale uma palavra e meu servo será curado.,52
common_voice_pt_19277070.wav,Meu nome é Heather.,19
common_voice_pt_19277071.wav,Jornal diário desportivo que segue toda a atualidade desportiva com independência e rigor jornalístico.,103
common_voice_pt_19277072.wav,Vinte mil dólares por ano?,26
common_voice_pt_19277073.wav,O garoto recordou o brilho que havia notado no dia anterior.,60
common_voice_pt_19277074.wav,Duas pessoas estão em uma carruagem do céu.,43
common_voice_pt_19277075.wav,Quanto vale o real no momento?,30
common_voice_pt_19277076.wav,Isso não poderia ter esperado até a manhã?,42
common_voice_pt_19277077.wav,Outros servos mantiveram o fogo nos narguilés.,46
common_voice_pt_19277078.wav,A areia flutua sobre as soleiras da velha casa.,47
common_voice_pt_19277079.wav,Tudo era querido.,17
common_voice_pt_19277080.wav,Como você para essa coisa?,26
common_voice_pt_19277081.wav,"Não deixe que eles vejam que você está com medo de?, disse o alquimista.",72
common_voice_pt_19277082.wav,Abrir portão.,13
common_voice_pt_19277083.wav,um cachorro preso dentro,24
common_voice_pt_19277084.wav,Procurando oportunidades futuras em Taiwan,42
common_voice_pt_19277085.wav,Onde ela consegue essas coisas?,31
common_voice_pt_19277086.wav,Ele é o homem que os anúncios são escritos para.,48
common_voice_pt_19277087.wav,No dia seguinte? o menino encontrou o velho ao meio-dia.,56
common_voice_pt_19277088.wav,Ela meditou sobre a questão por um tempo.,41
common_voice_pt_19277090.wav,Traduza Oi para Coreano.,24
common_voice_pt_19277091.wav,Pois naquele momento? não lhe ocorreu que poderia ser oco.,58
common_voice_pt_19277092.wav,Você precisará saber para criar seu próprio ambiente personalizado.,67
common_voice_pt_19277093.wav,Uma mulher está falando em seu telefone em uma estação de transporte ocupado.,77
common_voice_pt_19277094.wav,"Mamãe, feliz dia das mães!",26
common_voice_pt_19277095.wav,"Sempre que podia, ele procurava um novo caminho para viajar.",60
common_voice_pt_19277096.wav,Ele achou? logo depois do amanhecer? e não longe dos poços de areia.,68
common_voice_pt_19277097.wav,A vista deveria valer a pena.,29
common_voice_pt_19277098.wav,Pegue a partida e bata contra o seu sapato.,43
common_voice_pt_19277099.wav,Todo tipo de coisa.,19
common_voice_pt_19277101.wav,"Quando você joga cartas pela primeira vez?, você quase certamente vencerá.",74
common_voice_pt_19277102.wav,"Claro, sempre há tudo.",22
common_voice_pt_19277103.wav,O preço unitário será menor e menor,35
common_voice_pt_19277105.wav,Ele estava mentindo e difícil de se mover.,42
common_voice_pt_19277106.wav,Decidiu voltar para a estação,29
common_voice_pt_19277107.wav,As pessoas vestidas de branco estão se divertindo.,50
common_voice_pt_19277108.wav,Coro da sociedade harmônica.,28
common_voice_pt_19277109.wav,Pare de bater no mato.,22
common_voice_pt_19277110.wav,Que tal um pouco de vinho?,26
common_voice_pt_19277111.wav,"Como secretária, você pode contratar quem quiser.",49
common_voice_pt_19277112.wav,Uma menina que retrocede uma bola de futebol em um estádio de futebol.,70
common_voice_pt_19277113.wav,A mãe dela falou sobre isto ontem.,34
common_voice_pt_19277114.wav,Ela chorou por uma hora.,24
common_voice_pt_19277115.wav,Muito obrigado pela bolsa.,26
common_voice_pt_19277116.wav,Olá!,4
common_voice_pt_19277117.wav,Betty ficou surpresa.,21
common_voice_pt_19277118.wav,Você sabe o que há de errado com você?,38
common_voice_pt_19277119.wav,O que você tem para reportar?,29
common_voice_pt_19277120.wav,O que seus livros contaram sobre essa época da cidade?,54
common_voice_pt_19277121.wav,Tudo o que você precisa saber que aprendeu durante a sua jornada.,65
common_voice_pt_19277122.wav,Como vai você?,14
common_voice_pt_19277123.wav,Há um monte de caçadores de autógrafos na frente.,49
common_voice_pt_19277124.wav,Ele estava a vinte minutos de sua tenda? e começou a ir até lá.,63
common_voice_pt_19277125.wav,Eu estou indo para o negócio por mim mesmo.,43
common_voice_pt_19277126.wav,A vida amorosa dos dois.,24
common_voice_pt_19277127.wav,Que tal me levar para casa no estilo?,37
common_voice_pt_19277128.wav,É por isso que eu sou um anjo de segunda classe.,48
common_voice_pt_19277129.wav,A sala estava cheia de computadores.,36
common_voice_pt_19277130.wav,Precisamos trocar a lâmpada de novo,35
common_voice_pt_19277131.wav,Não? claro que não.,19
common_voice_pt_19277132.wav,Não tenho informações sobre tropas ou sobre o movimento das tribos.,67
common_voice_pt_19277133.wav,Me parece certo.,16
common_voice_pt_19277134.wav,O que é tão deprimente sobre isso?,34
common_voice_pt_19277135.wav,Eu disse que estava tentando pegar um.,38
common_voice_pt_19277136.wav,"Olá, meu nome é Maria.",22
common_voice_pt_19277137.wav,Eu me pergunto o que Molly colocou nesses tacos?,48
common_voice_pt_19277138.wav,"A lente estava pesada em?, mas tinha um zoom incrível.",54
common_voice_pt_19277140.wav,Eu não li o resumo do artigo ainda.,35
common_voice_pt_19277141.wav,Amanhã eu tiro a foto para postar no grupo.,43
common_voice_pt_19277142.wav,Todo mundo estava congelado assistindo a tela.,46
common_voice_pt_19277143.wav,A honestidade é a melhor política.,34
common_voice_pt_19277144.wav,mostre os filmes no cinema mais próximo,39
common_voice_pt_19277145.wav,Feliz em te conhecer.,21
common_voice_pt_19277146.wav,"Uma oportunidade rara, não perca!",33
common_voice_pt_19277147.wav,Eu gosto dessa piada.,21
common_voice_pt_19277148.wav,No mercado,10
common_voice_pt_19277149.wav,Eu vi que há um carro.,22
common_voice_pt_19277150.wav,A janela se abriu para fora.,28
common_voice_pt_19277151.wav,Você é sua presa.,17
common_voice_pt_19277152.wav,O irmão de Ana tem vinte e dois anos.,37
common_voice_pt_19277153.wav,Cortando as coisas,18
common_voice_pt_19277154.wav,Mas eles realmente não sabem o que estão dizendo.,49
common_voice_pt_19277155.wav,Mercearias nunca foram tão caras.,33
common_voice_pt_19277156.wav,Eu só posso te dizer o que vi.,30
common_voice_pt_19277157.wav,Deixe-me falar com ele.,23
common_voice_pt_19277158.wav,Ele de fato encontrou o relógio perdido.,40
common_voice_pt_19277159.wav,O menino olhou para o horizonte.,32
common_voice_pt_19277160.wav,O relógio estava ligeiramente torto.,36
common_voice_pt_19277161.wav,Richard foi acampar sozinho.,28
common_voice_pt_19277162.wav,A jaqueta tinha um propósito? e o menino também.,48
common_voice_pt_19277163.wav,Ele estava tão envergonhado que queria chorar.,46
common_voice_pt_19277164.wav,Ajude o avô a comemorar o dia dos pais,38
common_voice_pt_19277165.wav,A alegria de toda criança é o estaleiro.,40
common_voice_pt_19277166.wav,Não discuta comigo aqui.,24
common_voice_pt_19277167.wav,Mas ele havia encontrado um guia? e não queria perder uma oportunidade.,71
common_voice_pt_19277168.wav,Um tolo e seu dinheiro logo se separaram.,41
common_voice_pt_19277169.wav,É melhor você começar agora.,28
common_voice_pt_19277170.wav,Eu não vi nada.,15
common_voice_pt_19277171.wav,Embora eu não possa me levantar,31
common_voice_pt_19277172.wav,Você quer dizer que o discurso que você está escrevendo?,56
common_voice_pt_19277173.wav,O som está ficando menor,24
common_voice_pt_19277174.wav,Descobriu que algumas pessoas foram organizadas,47
common_voice_pt_19277175.wav,Então você combinou prazer com negócios!,40
common_voice_pt_19277176.wav,Uma equipe de ciclistas trabalhando duro no que parece ser uma moto muito veloz.,80
common_voice_pt_19277177.wav,Eu vou ler as informações online.,33
common_voice_pt_19277178.wav,Ela quer ficar sozinha.,23
common_voice_pt_19277179.wav,Há peixes deformados naquele lago.,34
common_voice_pt_19277180.wav,"Quando ele fala em nossa língua, eu posso interpretar o que ele disse.",70
common_voice_pt_19277181.wav,Quase dá a ele a sensação de que ele não era desejado.,54
common_voice_pt_19277182.wav,Copo com água.,14
common_voice_pt_19277183.wav,O pinguim atravessa o gelo juntando-se aos seus companheiros.,61
common_voice_pt_19277184.wav,O céu já estava escuro.,23
common_voice_pt_19277185.wav,Um homem de calça preta subindo em uma parede de pedra.,55
common_voice_pt_19277186.wav,Vestido amarelo.,16
common_voice_pt_19277192.wav,O que você faria se fosse uma filha?,36
common_voice_pt_19277193.wav,Eles cantaram as mesmas músicas em cada festa.,46
common_voice_pt_19277194.wav,Está certo quem vence.,22
common_voice_pt_19277195.wav,Benjamin estava comendo tiras de bacon.,39
common_voice_pt_19277196.wav,Cento e sessenta pizzas,23
common_voice_pt_19277197.wav,Os banhos romanos são soberbos,30
common_voice_pt_19277198.wav,Quatro pessoas estão sentadas em uma rocha em um corpo de água.,63
common_voice_pt_19277199.wav,"Eu liguei, mas ninguém respondeu.",33
common_voice_pt_19277200.wav,Dois homens filetam um peixe em uma pia enquanto outros assistem.,65
common_voice_pt_19277201.wav,Você deveria ficar mais.,24
common_voice_pt_19277203.wav,O pai estava cansado do trabalho.,33
common_voice_pt_19277204.wav,"O estranho pensou por um momento, ponderando suas opções.",57
common_voice_pt_19277205.wav,Porque eu vi a versão preview,29
common_voice_pt_19277206.wav,Ele estava vestido apenas de pijama.,36
common_voice_pt_19277207.wav,Ela é de uma segunda geração de imigrantes.,43
common_voice_pt_19277208.wav,Uma mulher está bebendo de um canudo verde.,43
common_voice_pt_19277209.wav,Você sabe disso?,16
common_voice_pt_19277210.wav,"Com a garota com o cabelo negro, seus dias nunca mais seriam os mesmos.",71
common_voice_pt_19277211.wav,Talvez este seja um presságio de? disse o inglês? meio em voz alta.,67
common_voice_pt_19277212.wav,Ele é considerado por ser muito inteligente.,44
common_voice_pt_19277213.wav,Eu pensei sobre as dificuldades na tradução que podem surgir.,61
common_voice_pt_19277214.wav,Rever sentenças.,16
common_voice_pt_19277215.wav,Os resultados alcançados estão muito aquém do estado da arte na classificação de imagens.,89
common_voice_pt_19277216.wav,"Por fim, gostaria de agradecer sua colaboração.",47
common_voice_pt_19277217.wav,Este é um truque para obter sua simpatia.,41
common_voice_pt_19277218.wav,Sinto-me grata pelo tempo que passamos juntos.,46
common_voice_pt_19277219.wav,Trabalho administrativo simples,31
common_voice_pt_19277220.wav,Seu destino estava do outro lado do oceano,42
common_voice_pt_19277221.wav,Através da visão única do curador,33
common_voice_pt_19277222.wav,A sopa está quente,18
common_voice_pt_19277223.wav,Agora espere um minuto!,23
common_voice_pt_19277224.wav,Pegue o quadro de avisos!,25
common_voice_pt_19277225.wav,Sua voz é tão feliz,19
common_voice_pt_19277227.wav,O domínio público e o privado.,30
common_voice_pt_19277228.wav,Sua estratégia é entrar online primeiro.,40
common_voice_pt_19277229.wav,Não fale alto demais.,21
common_voice_pt_19277230.wav,Porque você está tentando realizar seu destino.,47
common_voice_pt_19277231.wav,O menino pensou em Fátima.,26
common_voice_pt_19277232.wav,Eu cruzei estas areias muitas vezes? disse um dos motoristas de camelo uma noite.,81
common_voice_pt_19277233.wav,Ariana Grande participou de Brilhante Victória.,47
common_voice_pt_19277234.wav,Descubra as melhores coisas para fazer hoje em Lisboa.,54
common_voice_pt_19277235.wav,Foi repetitivo? mas calmante.,29
common_voice_pt_19277236.wav,Um cachorro atravessa o solo rochoso.,37
common_voice_pt_19277237.wav,A cidade inteira está em alvoroço.,34
common_voice_pt_19277238.wav,Ele é muito conhecido por seu estilo baseado no ultrarromantismo.,65
common_voice_pt_19277239.wav,"Ele vagou por um tempo, mantendo as palmeiras do oásis à vista.",63
common_voice_pt_19277240.wav,E peça um copo de vinho para mim.,33
common_voice_pt_19277241.wav,Estou tão ocupada que ela está com raiva.,41
common_voice_pt_19277242.wav,O que é toda essa bagunça?,26
common_voice_pt_19277243.wav,Era de manhã cedo quando ela acordou.,37
common_voice_pt_19277244.wav,Era uma cidade recreativa.,26
common_voice_pt_19277245.wav,"Mozilla, Godzilla.",18
common_voice_pt_19277246.wav,Um homem de camisa branca fuma enquanto dá instruções.,54
common_voice_pt_19277247.wav,Eu não queria casar com mais ninguém na cidade.,47
common_voice_pt_19277248.wav,Eu sei suas dimensões e como ela se comporta.,45
common_voice_pt_19277249.wav,Mídia continua a perguntar,26
common_voice_pt_19277250.wav,Eu tenho me acostumado com isso uma ou duas vezes.,50
common_voice_pt_19277251.wav,quanto custa dez reais em dólares norte americanos,50
common_voice_pt_19277252.wav,Você já viu ele?,16
common_voice_pt_19277253.wav,Ele pediu um táxi,17
common_voice_pt_19277254.wav,Um homem de camisa preta está alcançando acima de sua cabeça.,61
common_voice_pt_19277255.wav,Projetar uma interface de ação dedicada,39
common_voice_pt_19277256.wav,Quando você voltou?,19
common_voice_pt_19277257.wav,Como posso dizer que você está em condições de entrar no acampamento?,69
common_voice_pt_19277258.wav,Um homem de terno se afasta de um prédio com longas sombras.,60
common_voice_pt_19277259.wav,Mas ele decidiu primeiro comprar sua padaria e colocar algum dinheiro de lado.,78
common_voice_pt_19277261.wav,Você faz todas as contratações por aqui.,40
common_voice_pt_19277262.wav,Como você quer dizer?,21
common_voice_pt_19277263.wav,Um skatista de camisa vermelha e boné de beisebol está descendo uma colina pavimentada.,87
common_voice_pt_19277264.wav,Agora a lua está fora.,22
common_voice_pt_19277265.wav,O professor pensou que ele havia aprendido tudo o que podia.,60
common_voice_pt_19277266.wav,"Ela espera que seu bolo de aniversário seja rosa, não roxo.",59
common_voice_pt_19277267.wav,Há água na chuva,16
common_voice_pt_19277268.wav,Eu fico mais chutando dessa maneira.,36
common_voice_pt_19277269.wav,Eu não cheguei até as sessenta,30
common_voice_pt_19277270.wav,Obrigado por ler isso em voz alta.,34
common_voice_pt_19277271.wav,E super carga total,19
common_voice_pt_19277272.wav,"Um pastor pode gostar de viajar?, mas ele nunca deve esquecer suas ovelhas.",75
common_voice_pt_19277273.wav,Shakespeare nunca disse isso.,29
common_voice_pt_19277274.wav,"De repente, jogado no grande balde de gelo",42
common_voice_pt_19277275.wav,Um ano após a morte,19
common_voice_pt_19277276.wav,Agradeceram a fartura daquela noite,35
common_voice_pt_19277277.wav,O meu teclado está com defeito.,31
common_voice_pt_19277278.wav,Eles pareciam rir dele? e ele riu de volta. Seu coração explodiu de alegria.,76
common_voice_pt_19277279.wav,Eu não confio em ninguém.,25
common_voice_pt_19277280.wav,E a camisola se transformara num belo vestido de casamento.,59
common_voice_pt_19277281.wav,Como ela era?,13
common_voice_pt_19278118.wav,O som vinha de outra sala,25
common_voice_pt_19278119.wav,China tem liberdade e democracia,32
common_voice_pt_19278120.wav,para manter suas línguas,24
common_voice_pt_19278121.wav,Você não leu isso?,18
common_voice_pt_19278122.wav,Um menino pequeno vestindo shorts e sem camisa está correndo ao ar livre,72
common_voice_pt_19278133.wav,Por que não liguei de volta?,28
common_voice_pt_19278134.wav,O peso não é muito pior,23
common_voice_pt_19278135.wav,Guilherme e Gabriel eram bons amigos.,37
common_voice_pt_19278136.wav,Deve ser algum tipo de piada.,29
common_voice_pt_19278137.wav,Eu quero reservar um bar de ostras para um na cidade da Marinha.,64
common_voice_pt_19278148.wav,O filho mais novo ficou no país para morar,42
common_voice_pt_19278149.wav,Havia realmente? Eu acho que? duas ou trezentas pessoas se acotovelam.,70
common_voice_pt_19278150.wav,Subconscientemente escolha esquecer,35
common_voice_pt_19278151.wav,Você pode pesquisar Milagre na Chuva?,37
common_voice_pt_19278152.wav,Verifique o diabetes encontrado,31
common_voice_pt_19278154.wav,Quanto é o seu capital nele?,28
common_voice_pt_19278155.wav,Seu governo está contando com você.,35
common_voice_pt_19278157.wav,Aposto que você não precisa disso.,34
common_voice_pt_19278158.wav,Eu não sei como transformá-los em realidade.,44
common_voice_pt_19278159.wav,Estou surpreso? o menino disse.,31
common_voice_pt_19278160.wav,Por que você quer ir para casa para comer?,42
common_voice_pt_19278161.wav,As pessoas estão do lado de fora de um edifício perto de uma rua.,65
common_voice_pt_19278162.wav,Mantenha a organização no programa de área de trabalho.,55
common_voice_pt_19278163.wav,Minha revisão do sol é uma estrela.,35
common_voice_pt_19278164.wav,"Àquela altura, ninguém podia ver nada",37
common_voice_pt_19278165.wav,qual é a previsão a partir da próxima semana em Guam,52
common_voice_pt_19278166.wav,Tudo parece começar de novo,27
common_voice_pt_19278167.wav,Alugue um carro por um dia,26
common_voice_pt_19278168.wav,Você come chocolate?,20
common_voice_pt_19278169.wav,Você não votou em mim da última vez.,36
common_voice_pt_19278170.wav,Mas eu também estava tropeçando porque não conseguia desviar o olhar dessas coisas.,83
common_voice_pt_19278171.wav,uma jornada que nunca se cansará,32
common_voice_pt_19278172.wav,Como Peter Lovelace conseguiu essa arma?,40
common_voice_pt_19278173.wav,Dois esquiadores caminham pela floresta.,40
common_voice_pt_19278174.wav,"Quando a tensão chegou ao máximo, a corda rompeu",48
common_voice_pt_19278175.wav,Victoria faz as coisas de uma maneira muito maior.,50
common_voice_pt_19278176.wav,A baleia azul é um animal enorme.,33
common_voice_pt_19278177.wav,Quantos anos você tem?,22
common_voice_pt_19278178.wav,"Por favor, não me toque.",24
common_voice_pt_19278179.wav,Isso é bom? pensou o inglês.,28
common_voice_pt_19278180.wav,Este é o lugar?,15
common_voice_pt_19278181.wav,"Eu conto vinte pedaços por dia, ok?",35
common_voice_pt_19278182.wav,As pessoas vão apreciar o chá e querem comprar os copos.,56
common_voice_pt_19278183.wav,Quais são os filmes animados que estão tocando nas proximidades?,64
common_voice_pt_19278184.wav,Inspirado pela letra,20
common_voice_pt_19278185.wav,Ele já está encarregado do banco.,33
common_voice_pt_19278187.wav,E você se casou com ela.,24
common_voice_pt_19278188.wav,É um momento de grande alegria,30
common_voice_pt_19278189.wav,Atitude otimista,16
common_voice_pt_19278190.wav,Barack Obama foi um presidente muito popular.,45
common_voice_pt_19278191.wav,Você quer dizer que você sabe sobre ela o tempo todo?,53
common_voice_pt_19278192.wav,"Quando a identidade do usuário for aceita pelo servidor?, você será notificado.",79
common_voice_pt_19278193.wav,Eu queria subir.,16
common_voice_pt_19278194.wav,Isso é um segredo sobre você.,29
common_voice_pt_19278195.wav,Uma pequena orquestra de cordas toca em uma igreja onde a multidão assiste.,75
common_voice_pt_19278196.wav,Meu irmão Elijah caiu da sua bicicleta.,39
common_voice_pt_19278197.wav,As cabras sempre têm uma visão melhor.,38
common_voice_pt_19278198.wav,Duas vezes.,11
common_voice_pt_19278199.wav,Ele chorou,10
common_voice_pt_19278200.wav,Havia uma luz verde cintilante emanando da estátua.,51
common_voice_pt_19278201.wav,Tem certeza de que o caso Joe está acontecendo na próxima semana?,65
common_voice_pt_19278202.wav,Para pegar a ferrovia da cidade para o ônibus,45
common_voice_pt_19278203.wav,A interface era indecifrável.,29
common_voice_pt_19278204.wav,"Algumas pessoas gostam de gaivotas, outras não.",47
common_voice_pt_19278205.wav,Um homem com um assobio na boca está segurando uma grande bandeja de comida.,76
common_voice_pt_19278206.wav,Mudanças de voz,15
common_voice_pt_19278207.wav,Por favor nunca jogue pizza de salame fora.,43
common_voice_pt_19278208.wav,Aqui está a foto da minha esposa.,33
common_voice_pt_19278214.wav,Eu só estava perguntando.,25
common_voice_pt_19278215.wav,Eu sei o que você está sentindo.,32
common_voice_pt_19278216.wav,Outra plataforma.,17
common_voice_pt_19278217.wav,Não me pergunte como eu sei.,28
common_voice_pt_19278218.wav,A corrupção foi profunda.,25
common_voice_pt_19278219.wav,Eu aluguei dez hectares de terra e descobriu-se que era estéril.,64
common_voice_pt_19278220.wav,Tudo o que eles pensam é comida e água.,39
common_voice_pt_19278221.wav,Sua ansiedade explodiu.,23
common_voice_pt_19278222.wav,Ele desenhou na parte de trás de sua jaqueta com uma caneta azul.,65
common_voice_pt_19278223.wav,Você não pode me subornar.,26
common_voice_pt_19278224.wav,Mãe sou eu.,11
common_voice_pt_19278225.wav,Havia vozes levantadas e uma espécie de luta parecia estar acontecendo..,72
common_voice_pt_19278226.wav,Eu vou escrever lição de casa na sala.,38
common_voice_pt_19278227.wav,Isso é um sistema mecânico sofisticado!,39
common_voice_pt_19278228.wav,O discurso do amor está nos olhos.,34
common_voice_pt_19278229.wav,Ela encheu novamente o recipiente e foi embora.,47
common_voice_pt_19278230.wav,O navio parecia ser construído com alguma forma de exoesqueleto de cromo.,73
common_voice_pt_19278232.wav,Planeje dentro de uma semana,28
common_voice_pt_19278233.wav,O estranho falava de coisas que muito poucas pessoas sabiam.,60
common_voice_pt_19278234.wav,Quem te disse que? perguntou ao menino? assustado.,50
common_voice_pt_19278235.wav,Você quer uma bolacha?,22
common_voice_pt_19278236.wav,Você pode me pegar o filme Terra do Boneco de Neve?,51
common_voice_pt_19278237.wav,A multidão balançou um pouco enquanto eu lhe dava uma cotovelada.,65
common_voice_pt_19278238.wav,"Você pode nomear todos os dispositivos de saída, por favor?",59
common_voice_pt_19278239.wav,Houve um baque como a queda de uma grande massa.,48
common_voice_pt_19278240.wav,Rastreamento de rostos.,23
common_voice_pt_19278241.wav,O menino queria pegar a mão dela.,33
common_voice_pt_19278242.wav,Nós fizemos isso! disse o inglês? que também acordou cedo.,58
common_voice_pt_19278243.wav,Remou até chegar na outra margem,32
common_voice_pt_19278244.wav,Eu aprendi coisas da ovelha? e aprendi coisas do cristal? ele pensou.,69
common_voice_pt_19278245.wav,Por que você não quer que eu o veja?,36
common_voice_pt_19278246.wav,Essa é uma boa ideia.,21
common_voice_pt_19278247.wav,Salvador da manufatura tradicional,34
common_voice_pt_19278248.wav,Um menino está brincando com uma chave de fenda.,48
common_voice_pt_19278249.wav,Era melhor que o cheiro dos narguilés.,38
common_voice_pt_19278250.wav,O que estava ao seu lado há cinco minutos agora estava do outro lado.,69
common_voice_pt_19278251.wav,Eu realmente espero,19
common_voice_pt_19278252.wav,Participei de várias reuniões,29
common_voice_pt_19278253.wav,Mulher caseira,14
common_voice_pt_19278260.wav,É necessário que as pessoas se acalmem.,39
common_voice_pt_19278261.wav,Vou sair de casa,16
common_voice_pt_19278262.wav,Eles gritaram consolo e promessas e voltaram para a cidade novamente para buscar ajuda.,87
common_voice_pt_19278263.wav,Três mulheres que se amontoam para aquecer debaixo de um cobertor.,66
common_voice_pt_19278264.wav,Ela prometeu sem pensar,23
common_voice_pt_19278265.wav,Fazer um handstand precisa de muita prática para aprender.,58
common_voice_pt_19278266.wav,Eles perderam a aula hoje.,26
common_voice_pt_19278267.wav,O estranho continuou a segurar a espada na testa do menino.,59
common_voice_pt_19278268.wav,E ele não estava se saindo muito melhor.,40
common_voice_pt_19278274.wav,E eu disse a Harry que achava que ia ficar entediado até a morte.,65
common_voice_pt_19278275.wav,Eu quero ouvir Merry Go Round por Gary Nichols do Groove Shark por favor.,73
common_voice_pt_19278276.wav,Para mim não importa.,21
common_voice_pt_19278277.wav,Um trabalhador mais limpo está limpando as paredes de um metrô.,63
common_voice_pt_19278278.wav,"Infelizmente, o período de teste expirou.",41
common_voice_pt_19278279.wav,Qual barco você está navegando em?,34
common_voice_pt_19278280.wav,Qualquer que seja.,18
common_voice_pt_19278281.wav,Aquele que luta e foge? vive para lutar outro dia.,50
common_voice_pt_19278282.wav,O homem senta-se entre bicicletas ao ajustar o pneu em um.,58
common_voice_pt_19278283.wav,Era só que ele não conseguia entender o que significava.,56
common_voice_pt_19278289.wav,O presidente lutou heroicamente contra tal selvageria.,54
common_voice_pt_19278290.wav,Quantidade suficiente,21
common_voice_pt_19278291.wav,"A atividade era de história, não de português",45
common_voice_pt_19278292.wav,Você sabia toda a história.,27
common_voice_pt_19278293.wav,Cada personagem tem uma jogada,30
common_voice_pt_19278294.wav,Perdi o ônibus de novo.,23
common_voice_pt_19278295.wav,"Bebê em um banho de espuma, realizada por uma mulher em uma camisa azul",71
common_voice_pt_19278296.wav,Eu acho que eles falam espanhol na Bolívia.,43
common_voice_pt_19278297.wav,O que você fez com minhas chaves?,33
common_voice_pt_19278298.wav,Isso faz parte do processo de socialização do indivíduo.,56
common_voice_pt_19278310.wav,Deixe-me perguntar a ele,24
common_voice_pt_19278311.wav,A ejeção de massa coronal da estrela mascarou o sinal.,54
common_voice_pt_19278312.wav,Eu pensei que o desaparafusar poderia ser automático.,53
